id,fecha,monto,vehicle_id,comentarios,tipo_gasto,subtipo_gasto,clasificacion_confianza,requiere_revision
fb2b3366-b216-4376-a1c3-fb8573a01278,2020-12-03,475,11,RIO 11 · Excel GASTOS fila 158 [origen gastos_caja id=155],operativo_vehiculo,motor,0.55,true
86c19a81-9dd4-4fb8-b65a-b621b180327c,2020-12-03,225,10,RIO 10 · Excel GASTOS fila 160 [origen gastos_caja id=157],operativo_vehiculo,motor,0.55,true
6c4d8970-248a-4788-8760-59ea62d0039d,2020-12-03,675,12,RIO 12 · Excel GASTOS fila 161 [origen gastos_caja id=158],operativo_vehiculo,motor,0.55,true
0040194a-914d-4d37-863c-216290b5449b,2022-06-03,20,22,VERSA 22 GAS ENTREGA · Excel GASTOS fila 663 [origen gastos_caja id=656],operativo_vehiculo,motor,0.55,true
01783f22-a622-4c51-8c24-756062392d4a,2022-07-04,20,28,limpieza aros versa 28 · Excel GASTOS fila 712 [origen gastos_caja id=705],operativo_vehiculo,motor,0.55,true
aa687e67-0d7f-4d01-a3a8-61ab8672464b,2022-10-27,40,11,RIO 11 REGULACION GAS · Excel GASTOS fila 861 [origen gastos_caja id=853],operativo_vehiculo,motor,0.55,true
6fb7c474-8ee4-4bde-814d-af4d6af2e282,2023-03-02,30,25,VERSA 25 FRENOS REGULACION · Excel GASTOS fila 1123 [origen gastos_caja id=1113],operativo_vehiculo,frenos,0.55,true
c88841be-4018-4b64-8ef6-a1dc571e9e1b,2023-03-08,50,23,VERSA 23 FRENOS · Excel GASTOS fila 1145 [origen gastos_caja id=1135],operativo_vehiculo,frenos,0.55,true
d8322fe3-6cd9-40fd-b1cb-5f784c3e60e5,2023-04-05,35,35,ASIENTO ARREGLO PILOTO VERSA 35 · Excel GASTOS fila 1210 [origen gastos_caja id=1200],operativo_vehiculo,motor,0.55,true
f6987cf6-c46d-4813-9dd2-84713a0c7434,2023-06-04,43,18,PLUMILLAS Y ARREGLO SALIDA DE AGUA VERSA 18 · Excel GASTOS fila 1358 [origen gastos_caja id=1348],operativo_vehiculo,motor,0.55,true
009129ea-255d-4b34-aad7-0b8b31d138bd,2023-11-03,100,16,VERSA 16 2/4 2 DISCOS DE FRENO MAS 1 PASTILLA · Excel GASTOS fila 1852 [origen gastos_caja id=1838],operativo_vehiculo,frenos,0.55,true
20351d60-e472-49fd-9371-429c0decfeaf,2023-10-03,100,16,VERSA 16 1/4 2 DISCOS DE FRENO MAS 1 PASTILLA · Excel GASTOS fila 1708 [origen gastos_caja id=1694],operativo_vehiculo,frenos,0.55,true
cfbaff6b-cee8-4a78-8728-99277a52acb1,2019-02-28,90,1,[FEBRERO] YARIS 01 ANF-599 — IMPUESTO SAT,operativo_vehiculo,motor,0.55,true
dd9b11a2-4339-41b0-b0aa-e0615e1e8094,2023-12-07,100,16,VERSA 16 3/4 2 DISCOS DE FRENO MAS 1 PASTILLA · Excel GASTOS fila 1983 [origen gastos_caja id=1969],operativo_vehiculo,frenos,0.55,true
1ffa916e-f7e5-46c1-a18c-f802d71788e0,2024-01-02,80,13,RIO 13 ARRELO LUNAS ERICK · Excel GASTOS fila 2112 [origen gastos_caja id=2098],operativo_vehiculo,motor,0.55,true
b9223c83-c5b4-4e3c-ad0f-2393c6554390,2024-01-09,150,21,VERSA 21 CAMBIO DE BOCINAS Y REGULACION FRENOS · Excel GASTOS fila 2135 [origen gastos_caja id=2121],operativo_vehiculo,frenos,0.55,true
